Protein	FHT_Protien_Count	FHT_Protien_ProteinLists	Unique Peptide Count	Unique Sequence Count	Froze_Core_2015_N1_0_10_13	Froze_Core_2015_N1_10_20_21	Froze_Core_2015_N1_20_30_20	Froze_Core_2015_N1_30_40_25	Froze_Core_2015_N1_40_50_16	Froze_Core_2015_N2_0_30_8	Froze_Core_2015_N2_30_40_10	Froze_Core_2015_N2_40_50_1	Froze_Core_2015_N2_50_60_34	Froze_Core_2015_N3_0_10_27	Froze_Core_2015_N3_10_20_30	Froze_Core_2015_N3_20_30_32	Froze_Core_2015_N3_30_40_9	Froze_Core_2015_N3_40_50_6	Froze_Core_2015_N3_50_60_28	Froze_Core_2015_S1_0_10_18	Froze_Core_2015_S1_10_20_33	Froze_Core_2015_S1_20_30_19	Froze_Core_2015_S1_30_40_3	Froze_Core_2015_S1_40_50_17	Froze_Core_2015_S1_50_60_23	Froze_Core_2015_S2_0_10_7	Froze_Core_2015_S2_10_20_24	Froze_Core_2015_S2_20_30_31	Froze_Core_2015_S2_30_40_15	Froze_Core_2015_S2_40_50_29	Froze_Core_2015_S2_50_60_2	Froze_Core_2015_S3_0_10_22	Froze_Core_2015_S3_10_20_5	Froze_Core_2015_S3_20_30_14	Froze_Core_2015_S3_30_40_12	Froze_Core_2015_S3_40_50_26	Froze_Core_2015_S3_50_60_4
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_65_0020	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_65_0020	1	1										1																							
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_66_0019	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_66_0019	1	1										1																							
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_7_0022	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_7_0022	2	2					1											1												1					
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_7_0024	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_7_0024	1	1																												1					
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_80_0004	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_80_0004	1	1																										1							
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_8187_0002	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_8187_0002	1	1																					1												
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_9_0009	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_9_0009	1	1																	1																
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_9_0022	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_9_0022	1	1																					1												
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_94_0004	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_94_0004	1	1																													1				
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_95_0012	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_95_0012	1	1																	1																
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1003_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1003_0001	1	1				1																													
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1101_0004	2	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_8_0002, S2_10_20_OSU_bin.16.fa.annotation_scaffold_1101_0004"	1	1																							1										
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1107_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1107_0002	2	2																	1											2					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1107_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1107_0004	1	1																												1					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1107_0006	2	"S2_10_20_OSU_bin.16.fa.annotation_scaffold_1107_0006, S2_10_20_OSU_bin.16.fa.annotation_scaffold_511_0001"	1	1																	1																
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1123_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1123_0004	1	1								1																									
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1133_0009	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1133_0009	1	1																								1									
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1142_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1142_0002	1	1						1									1														1				
S2_10_20_OSU_bin.16.fa.annotation_scaffold_116_0006	6	"S2_10_20_OSU_bin.16.fa.annotation_scaffold_116_0006, S2_10_20_OSU_bin.16.fa.annotation_scaffold_116_0008, S2_10_20_OSU_bin.16.fa.annotation_scaffold_3259_0004, S2_10_20_OSU_bin.16.fa.annotation_scaffold_53_0006, S2_10_20_OSU_bin.16.fa.annotation_scaffold_53_0013, S2_10_20_OSU_bin.16.fa.annotation_scaffold_54_0009"	1	1	1	1	1	1		1					1					1	1	1			1	1				1		3					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_116_0009	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_116_0009	1	1															1										1					1		1	
S2_10_20_OSU_bin.16.fa.annotation_scaffold_118_0005	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_118_0005	1	1															1																		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1200_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1200_0004	1	1					1																												
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1202_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1202_0001	1	1			1																														
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1206_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1206_0001	1	1		1																															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_12166_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_12166_0001	1	1		1																															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1282_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1282_0003	1	1		1	1	1	1										1		1	1	1		1			1			1				1		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1291_0006	2	"S2_10_20_OSU_bin.16.fa.annotation_scaffold_1291_0006, S2_10_20_OSU_bin.16.fa.annotation_scaffold_312_0001"	1	1																												1					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_130_0010	17	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_15_0026, N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_16_0038, N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_24_0021, N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_3_0063, N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_35_0024, N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_37_0009, N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_6_0007, S2_10_20_OSU_bin.16.fa.annotation_scaffold_130_0010, S2_10_20_OSU_bin.16.fa.annotation_scaffold_1381_0002, S2_10_20_OSU_bin.16.fa.annotation_scaffold_159_0011, S2_10_20_OSU_bin.16.fa.annotation_scaffold_197_0014, S2_10_20_OSU_bin.16.fa.annotation_scaffold_2284_0002, S2_10_20_OSU_bin.16.fa.annotation_scaffold_233_0008, S2_10_20_OSU_bin.16.fa.annotation_scaffold_235_0009, S2_10_20_OSU_bin.16.fa.annotation_scaffold_366_0001, S2_10_20_OSU_bin.16.fa.annotation_scaffold_53_0007, S2_10_20_OSU_bin.16.fa.annotation_scaffold_5558_0001"	5	5																	5							2			1	1	1				
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1338_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1338_0002	1	1																	3											2					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_134_0025	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_134_0025	1	1		1																															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1381_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1381_0002	2	2		2																			1												
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1382_0002	2	"S2_10_20_OSU_bin.16.fa.annotation_scaffold_1382_0002, S2_10_20_OSU_bin.16.fa.annotation_scaffold_3878_0001"	1	1		1							1						1																		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1419_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1419_0001	1	1																					1												
S2_10_20_OSU_bin.16.fa.annotation_scaffold_142_0008	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_142_0008	1	1				1																	1												
S2_10_20_OSU_bin.16.fa.annotation_scaffold_143_0007	8	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_111_0012, N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_20_0001, N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_35_0020, N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_43_0023, N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_55_0006, S2_10_20_OSU_bin.16.fa.annotation_scaffold_143_0007, S2_10_20_OSU_bin.16.fa.annotation_scaffold_312_0010, S2_10_20_OSU_bin.16.fa.annotation_scaffold_527_0005"	2	2		2															1				1							1					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_144_0015	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_144_0015	3	2						1		1	4								1			1					4	3	2		1	3		4	4
S2_10_20_OSU_bin.16.fa.annotation_scaffold_146_0007	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_146_0007	1	1				1													1									1		1	1				
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1521_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1521_0001	2	2			1		1		1		1					1	2		1	1		1	1					1		1	1	1		1	
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1562_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1562_0004	1	1										1																							
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1727_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1727_0004	1	1																					1												
S2_10_20_OSU_bin.16.fa.annotation_scaffold_178_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_178_0003	1	1																		1															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1780_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1780_0003	1	1															1																		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1895_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1895_0001	1	1																											1						
S2_10_20_OSU_bin.16.fa.annotation_scaffold_196_0013	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_196_0013	1	1																										1							
S2_10_20_OSU_bin.16.fa.annotation_scaffold_1964_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_1964_0003	1	1											1																						
S2_10_20_OSU_bin.16.fa.annotation_scaffold_2060_0006	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_2060_0006	1	1			1																														
S2_10_20_OSU_bin.16.fa.annotation_scaffold_210_0006	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_210_0006	1	1																															1		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_2145_0007	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_2145_0007	1	1			1																														
S2_10_20_OSU_bin.16.fa.annotation_scaffold_2222_0007	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_2222_0007	1	1							1																										
S2_10_20_OSU_bin.16.fa.annotation_scaffold_226_0005	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_226_0005	1	1																													1				
S2_10_20_OSU_bin.16.fa.annotation_scaffold_232_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_232_0002	1	1					1																												
S2_10_20_OSU_bin.16.fa.annotation_scaffold_235_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_235_0004	1	1																															1		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_242_0009	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_242_0009	1	1																																1	
S2_10_20_OSU_bin.16.fa.annotation_scaffold_260_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_260_0003	1	1																													1				
S2_10_20_OSU_bin.16.fa.annotation_scaffold_264_0015	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_264_0015	1	1																	1											1					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_271_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_271_0003	1	1																											1						
S2_10_20_OSU_bin.16.fa.annotation_scaffold_271_0006	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_271_0006	1	1														1																			
S2_10_20_OSU_bin.16.fa.annotation_scaffold_276_0011	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_276_0011	1	1																														1			
S2_10_20_OSU_bin.16.fa.annotation_scaffold_278_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_278_0001	1	1								1																									
S2_10_20_OSU_bin.16.fa.annotation_scaffold_2833_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_2833_0001	1	1							1																										
S2_10_20_OSU_bin.16.fa.annotation_scaffold_291_0004	3	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_35_0020, S2_10_20_OSU_bin.16.fa.annotation_scaffold_291_0004, S2_10_20_OSU_bin.16.fa.annotation_scaffold_527_0007"	1	1		1																															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_30_0023	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_30_0023	2	2																												2					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_303_0007	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_303_0007	2	1		1					1																									1	
S2_10_20_OSU_bin.16.fa.annotation_scaffold_31_0019	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_31_0019	1	1																																	1
S2_10_20_OSU_bin.16.fa.annotation_scaffold_311_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_311_0002	1	1		1	1		1				1																								
S2_10_20_OSU_bin.16.fa.annotation_scaffold_312_0001	2	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_23_0024, S2_10_20_OSU_bin.16.fa.annotation_scaffold_312_0001"	5	5			1		1		1									1	2					1						3					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_312_0010	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_312_0010	1	1		1																															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_314_0011	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_314_0011	1	1																														1			1
S2_10_20_OSU_bin.16.fa.annotation_scaffold_319_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_319_0004	1	1									1																								
S2_10_20_OSU_bin.16.fa.annotation_scaffold_3216_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_3216_0002	1	1																									1								
S2_10_20_OSU_bin.16.fa.annotation_scaffold_322_0002	2	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_95_0012, S2_10_20_OSU_bin.16.fa.annotation_scaffold_322_0002"	1	1																												1					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_325_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_325_0004	1	1						1																											
S2_10_20_OSU_bin.16.fa.annotation_scaffold_34_0011	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_34_0011	1	1																							1										
S2_10_20_OSU_bin.16.fa.annotation_scaffold_342_0013	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_342_0013	1	1																												1					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_348_0009	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_348_0009	1	1																		1															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_359_0007	2	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_57_0013, S2_10_20_OSU_bin.16.fa.annotation_scaffold_359_0007"	1	1																												1					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_361_0002	2	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_24_0011, S2_10_20_OSU_bin.16.fa.annotation_scaffold_361_0002"	1	1																												2					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_3612_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_3612_0003	1	1																													1				
S2_10_20_OSU_bin.16.fa.annotation_scaffold_370_0005	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_370_0005	1	1																										1							
S2_10_20_OSU_bin.16.fa.annotation_scaffold_371_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_371_0004	1	1																									1								
S2_10_20_OSU_bin.16.fa.annotation_scaffold_371_0005	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_371_0005	1	1																																1	
S2_10_20_OSU_bin.16.fa.annotation_scaffold_38_0023	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_38_0023	1	1																	1																
S2_10_20_OSU_bin.16.fa.annotation_scaffold_38_0026	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_38_0026	1	1																										1							
S2_10_20_OSU_bin.16.fa.annotation_scaffold_390_0007	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_390_0007	1	1																											1						
S2_10_20_OSU_bin.16.fa.annotation_scaffold_402_0006	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_402_0006	1	1									1																								
S2_10_20_OSU_bin.16.fa.annotation_scaffold_403_0007	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_403_0007	1	1																													1	1	1		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_408_0007	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_408_0007	1	1																																1	
S2_10_20_OSU_bin.16.fa.annotation_scaffold_4190_0005	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_4190_0005	2	2																1	1																
S2_10_20_OSU_bin.16.fa.annotation_scaffold_430_0007	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_430_0007	1	1																						1											
S2_10_20_OSU_bin.16.fa.annotation_scaffold_438_0007	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_438_0007	1	1					1																												
S2_10_20_OSU_bin.16.fa.annotation_scaffold_444_0009	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_444_0009	1	1																										1							
S2_10_20_OSU_bin.16.fa.annotation_scaffold_455_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_455_0003	1	1							1																				1						
S2_10_20_OSU_bin.16.fa.annotation_scaffold_457_0005	2	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_100_0009, S2_10_20_OSU_bin.16.fa.annotation_scaffold_457_0005"	3	3			1														2				1							3					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_4710_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_4710_0002	1	1																	2											2					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_49_0010	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_49_0010	1	1																											1						
S2_10_20_OSU_bin.16.fa.annotation_scaffold_4955_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_4955_0002	1	1																		1															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_509_0005	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_509_0005	6	6		6	1	1		1											1	2			3					2		1	1				
S2_10_20_OSU_bin.16.fa.annotation_scaffold_511_0001	3	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_450_0001, N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_52_0001, S2_10_20_OSU_bin.16.fa.annotation_scaffold_511_0001"	1	1								1						1	1		2		1			1		3				1	2	1			
S2_10_20_OSU_bin.16.fa.annotation_scaffold_518_0006	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_518_0006	1	1							1																										
S2_10_20_OSU_bin.16.fa.annotation_scaffold_55_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_55_0002	1	1		1																															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_55_0008	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_55_0008	1	1																																1	
S2_10_20_OSU_bin.16.fa.annotation_scaffold_551_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_551_0003	1	1									1											1					1	1	1			1		1	1
S2_10_20_OSU_bin.16.fa.annotation_scaffold_556_0007	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_556_0007	1	1															1																		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_5693_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_5693_0002	1	1																										1							
S2_10_20_OSU_bin.16.fa.annotation_scaffold_58_0009	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_58_0009	1	1							1																										
S2_10_20_OSU_bin.16.fa.annotation_scaffold_60_0018	2	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_1_0050, S2_10_20_OSU_bin.16.fa.annotation_scaffold_60_0018"	2	2																	2											1					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_604_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_604_0003	1	1																					1												
S2_10_20_OSU_bin.16.fa.annotation_scaffold_604_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_604_0004	1	1															1																		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_614_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_614_0001	1	1		1																															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_625_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_625_0004	1	1		1																															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_627_0010	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_627_0010	1	1								1																									
S2_10_20_OSU_bin.16.fa.annotation_scaffold_632_0006	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_632_0006	1	1																															1		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_645_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_645_0004	1	1															1																		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_645_0007	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_645_0007	1	1																	1																
S2_10_20_OSU_bin.16.fa.annotation_scaffold_645_0008	2	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_23_0003, S2_10_20_OSU_bin.16.fa.annotation_scaffold_645_0008"	1	1																												1					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_646_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_646_0002	1	1		1																															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_66_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_66_0004	1	1								1																									
S2_10_20_OSU_bin.16.fa.annotation_scaffold_66_0016	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_66_0016	1	1																														1			
S2_10_20_OSU_bin.16.fa.annotation_scaffold_660_0006	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_660_0006	1	1											1																						
S2_10_20_OSU_bin.16.fa.annotation_scaffold_6879_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_6879_0001	1	1								1																									
S2_10_20_OSU_bin.16.fa.annotation_scaffold_6895_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_6895_0001	1	1						2								1												1			2				
S2_10_20_OSU_bin.16.fa.annotation_scaffold_691_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_691_0003	1	1																													1				
S2_10_20_OSU_bin.16.fa.annotation_scaffold_71_0016	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_71_0016	1	1																							1										
S2_10_20_OSU_bin.16.fa.annotation_scaffold_7453_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_7453_0002	1	1																	1																
S2_10_20_OSU_bin.16.fa.annotation_scaffold_750_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_750_0001	1	1																																1	
